No errors
This data source has been renamed to 'aircraftreports' and will not be available in the next release of the dataserver; 
36 ms
data source=pireps
802 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2020-02-02T02:49:18Z,2020-02-02T02:48:00Z,,,,,,,NRS18U,47.6167,-51.5833,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,283,46,,AIREP,ARP NRS18U 4737N05135W 0248 F400 4759N05000W 0256 4959N04000W MS53 283/46 KT GCKOF QXT AME 020248 L33A ,
2020-02-02T02:49:24Z,2020-02-02T02:48:00Z,,,,,,,BAW11J,45.7167,-41.7333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,304,32,,AIREP,ARP BAW11J 4543N04144W 0248 F360 4559N04000W 0257 4759N03000W MS50 304/32 KT GCIVS QXT AME 020249 F79A ,
2020-02-02T02:49:24Z,2020-02-02T02:48:00Z,,,,,,,DAL108,44.7333,-46.8833,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,304,67,,AIREP,ARP DAL108 4444N04653W 0248 F350 4600N04000W 0326 4600N03000W MS58 304/67 KT N187DN QXT IGW 020249 F56A ,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,DAL178,62.0667,-50.8167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,306,35,,AIREP,ARP DAL178 6204N 05049W 0247 F340 M48 306/35 6200N 05000W 0250 6100N 04000W KT N197DN QXT IGW 020247 F66A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,UAL27,55.9167,-50.3,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,271,32,,AIREP,ARP UAL27 5555N 05018W 0247 F410 M47 271/32 5600N 05000W 0249 5659N 04000W KT N26902 DDL XXN 020247 L11A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,KLM672,53.5833,-45.3,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,272,38,,AIREP,ARP KLM672 5335N 04518W 0247 F390 M49 272/38 5400N 04000W 0310 5500N 03000W KT PHAOM QXT AME 020247 J78A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,DAH2701,52.1,-36.7833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,252,29,,AIREP,ARP DAH2701 5206N 03647W 0247 F370 M45 252/29 5200N 03000W 0316 5300N 02000W KT 7TVJZ QXT AOE 020247 J52A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,DLH445,52.0833,-33.7,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,239,32,,AIREP,ARP DLH445 5205N 03342W 0247 F390 M44 239/32 5159N 03000W 0303 5259N 02000W KT DAIKN DDL XXH 020247 J79A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,UAL962,52.0833,-34.1667,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,268,30,,AIREP,ARP UAL962 5205N 03410W 0247 F330 M47 268/30 5159N 03000W 0306 5259N 02000W KT N68061 DDL XXN 020247 F96A,
2020-02-02T02:49:19Z,2020-02-02T02:47:00Z,,,,,,,DAL116,47.6167,-51.6167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,281,86,,AIREP,ARP DAL116 4737N 05137W 0247 F340 M58 281/86 4800N 05000W 0255 5000N 04000W KT N830MH QXS YYT 020247 F36A,
