-33.933,121.85,8.056,19.2044,35.8515,227.5068,0.2545,0.198,4.8135,0.811,1025.6548
-33.933,121.85,9.063,19.2044,35.8537,227.5034,0.2682,0.1991,4.8138,0.723,1025.6609
-33.933,121.85,10.07,19.2042,35.8559,227.5005,0.2779,0.2035,4.8141,0.787,1025.667
-33.933,121.85,11.078,19.2038,35.8583,227.4982,0.2928,0.2159,4.8144,0.97,1025.6731
-33.933,121.85,12.085,19.2025,35.8598,227.5,0.3151,0.2303,4.8145,0.941,1025.6787
-33.933,121.85,13.092,19.2011,35.8609,227.5044,0.3371,0.2345,4.8145,0.825,1025.6844
-33.933,121.85,14.099,19.2005,35.862,227.5061,0.3589,0.2334,4.8146,0.775,1025.6899
-33.933,121.85,15.106,19.2005,35.863,227.5052,0.3704,0.2409,4.8148,0.823,1025.6954
-33.933,121.85,16.113,19.2009,35.8644,227.502,0.3777,0.2386,4.8151,0.952,1025.701
-33.933,121.85,17.12,19.2014,35.8661,227.4975,0.3839,0.2409,4.8153,0.966,1025.7065
-33.933,121.85,18.127,19.2008,35.868,227.4951,0.3908,0.2468,4.8156,0.86,1025.712
-33.933,121.85,19.134,19.1979,35.871,227.4995,0.3925,0.2442,4.8157,0.883,1025.7185
-33.933,121.85,20.141,19.1937,35.8744,227.5116,0.3814,0.2449,4.8157,0.793,1025.7264
-33.933,121.85,21.148,19.1887,35.8771,227.5272,0.3805,0.231,4.8155,0.725,1025.734
-33.933,121.85,22.155,19.1836,35.8801,227.5438,0.3807,0.2332,4.8154,0.731,1025.7419
-33.933,121.85,23.163,19.1758,35.8832,227.5663,0.3839,0.2473,4.815,0.766,1025.749
-33.933,121.85,24.17,19.1679,35.8859,227.5962,0.3805,0.2548,4.8146,0.9,1025.7579
-33.933,121.85,25.177,19.1581,35.8886,227.6318,0.3698,0.236,4.8139,0.702,1025.7666
-33.933,121.85,26.184,19.1441,35.8922,227.6754,0.3687,0.2484,4.813,0.749,1025.7744
-33.933,121.85,27.191,19.1299,35.896,227.7253,0.3574,0.2635,4.812,1.002,1025.7844
-33.933,121.85,28.198,19.116,35.9007,227.7795,0.3444,0.2682,4.8112,1.079,1025.797
-33.933,121.85,29.205,19.103,35.9059,227.8307,0.3382,0.2608,4.8105,0.885,1025.8104
-33.933,121.85,30.213,19.0894,35.91,227.882,0.3281,0.259,4.8096,0.726,1025.8217
-33.933,121.85,31.22,19.08,35.9117,227.9226,0.3317,0.2843,4.8089,0.783,1025.8311
-33.933,121.85,32.227,19.0753,35.9138,227.9449,0.3488,0.3687,4.8087,0.754,1025.8402
-33.933,121.85,33.234,19.0696,35.9146,227.9634,0.3351,0.2954,4.8083,0.618,1025.8456
-33.933,121.85,34.241,19.0634,35.9153,227.9895,0.3312,0.2603,4.8077,0.742,1025.8524
-33.933,121.85,35.249,19.0598,35.9156,228.0057,0.3426,0.2725,4.8074,0.866,1025.8585
-33.933,121.85,36.256,19.0575,35.9162,228.0159,0.358,0.3211,4.8073,0.969,1025.8644
-33.933,121.85,37.263,19.0561,35.9178,228.0215,0.354,0.3328,4.8074,0.692,1025.8711
-33.933,121.85,38.27,19.0531,35.9198,228.0286,0.3399,0.2831,4.8074,0.434,1025.8772
-33.933,121.85,39.277,19.051,35.9195,228.039,0.3426,0.2845,4.8072,0.697,1025.8822
-33.933,121.85,40.285,19.0502,35.9199,228.0425,0.3455,0.3078,4.8072,0.916,1025.8875
-33.933,121.85,41.292,19.0502,35.9216,228.0412,0.3503,0.3416,4.8074,0.897,1025.8936
-33.933,121.85,42.299,19.0494,35.9235,228.0397,0.355,0.2824,4.8076,0.632,1025.899
-33.933,121.85,43.306,19.0449,35.9243,228.0542,0.3556,0.2564,4.8073,0.565,1025.9042
-33.933,121.85,44.314,19.0374,35.9243,228.0808,0.3608,0.2664,4.8066,0.682,1025.9089
-33.933,121.85,45.321,19.0274,35.9243,228.1174,0.3627,0.2978,4.8056,0.864,1025.9142
-33.933,121.85,46.328,19.0164,35.9248,228.1619,0.3485,0.3071,4.8046,0.989,1025.9218
